Unnamed: 0,car_prices_in_rupee,kms_driven,fuel_type,transmission,ownership,manufacture,engine,Seats,company_name,car_names
0,1003000.0,86226,Diesel,Manual,1st Owner,2017,1956,5,Jeep,Compass 2.0 Longitude Option BSIV
1,1283000.0,13248,Petrol,Automatic,1st Owner,2021,1330,5,Renault,Duster RXZ Turbo CVT
2,1640000.0,60343,Petrol,Automatic,1st Owner,2016,2494,5,Toyota,Camry 2.5 G
3,777000.0,26696,Petrol,Automatic,1st Owner,2018,1199,5,Honda,Jazz VX CVT
4,515000.0,69414,Petrol,Manual,1st Owner,2016,1199,5,Volkswagen,Polo 1.2 MPI Highline
5,766000.0,49719,Petrol,Automatic,1st Owner,2017,1197,5,Volkswagen,Vento 1.2 TSI Highline AT
6,758000.0,43688,Petrol,Automatic,1st Owner,2017,1197,5,Volkswagen,Vento 1.2 TSI Highline Plus AT
7,1160000.0,14470,Diesel,Manual,1st Owner,2021,1498,5,Honda,WR-V VX Diesel
8,699000.0,21429,Petrol,Automatic,1st Owner,2015,1497,5,Honda,City i VTEC CVT SV
9,753000.0,31750,Petrol,Automatic,1st Owner,2017,1498,5,Renault,Duster Petrol RXS CVT
10,643000.0,38203,Petrol,Manual,1st Owner,2017,1197,5,Maruti,Baleno 1.2 Alpha
11,543000.0,110284,Petrol,Automatic,1st Owner,2014,1497,5,Honda,City i VTEC CVT SV
12,862000.0,10381,Petrol,Manual,1st Owner,2020,1197,5,Mahindra,XUV300 W6
13,1678000.0,32378,Petrol,Automatic,1st Owner,2019,1368,5,Jeep,Compass 1.4 Limited Plus BSIV
14,1003000.0,38906,Petrol,Manual,1st Owner,2020,1498,5,Honda,City V MT
15,563000.0,59313,Petrol,Automatic,2nd Owner,2016,1197,5,Hyundai,Grand i10 AT Asta
16,667000.0,85672,Diesel,Manual,1st Owner,2017,1396,5,Hyundai,i20 1.4 Asta
17,673000.0,34971,Petrol,Manual,2nd Owner,2017,1373,5,Maruti,Ciaz 1.4 Delta
18,321000.0,35894,Petrol,Manual,2nd Owner,2015,1198,5,Nissan,Micra XL Optional
19,850000.0,56000,Petrol,Automatic,1st Owner,2019,1462,5,Maruti,Ciaz Alpha Automatic BSIV
20,434000.0,56568,Petrol,Manual,1st Owner,2014,1197,5,Maruti,Swift Dzire VXI
21,311000.0,48872,Petrol,Manual,1st Owner,2017,799,5,Renault,KWID RXT
22,370000.0,17346,Petrol,Manual,1st Owner,2019,799,5,Renault,KWID RXL BSIV
23,1588000.0,15414,Diesel,Manual,1st Owner,2019,1956,5,Jeep,Compass 2.0 Limited Plus BSIV
24,541000.0,21239,Petrol,Manual,1st Owner,2018,1197,5,Hyundai,Grand i10 1.2 Kappa Magna BSIV
25,223000.0,62361,Petrol,Manual,1st Owner,2014,998,5,Maruti,Alto K10 LXI
26,588000.0,79329,Petrol,Manual,2nd Owner,2015,1591,5,Hyundai,Verna 1.6 VTVT S Option
27,2278000.0,11945,Petrol,Automatic,1st Owner,2021,1999,5,Hyundai,Tucson GLS AT
28,612000.0,51324,Petrol,Manual,1st Owner,2018,1197,5,Maruti,Swift Dzire VXI 1.2
29,744000.0,5717,Petrol,Manual,1st Owner,2021,999,5,Nissan,Magnite XV Premium
30,839000.0,46417,Petrol,Automatic,1st Owner,2016,1497,5,Honda,City i VTEC CVT VX
31,420000.0,100161,Petrol,Manual,1st Owner,2015,1198,5,Honda,Amaze S i-Vtech
32,491000.0,35424,Petrol,Manual,1st Owner,2016,1197,5,Hyundai,Grand i10 Sportz
33,293000.0,51085,Petrol,Manual,1st Owner,2017,814,5,Hyundai,EON Era Plus
34,298000.0,30983,Petrol,Manual,1st Owner,2016,796,5,Maruti,Alto 800 LXI
35,260000.0,32681,Petrol,Manual,1st Owner,2016,799,5,Renault,KWID RXL
36,238000.0,57581,Petrol,Manual,2nd Owner,2014,814,5,Hyundai,EON Magna Plus
37,605000.0,39821,Petrol,Automatic,1st Owner,2016,1199,5,Honda,Jazz 1.2 V AT i VTEC
38,323000.0,21186,Petrol,Manual,1st Owner,2018,796,5,Maruti,Alto 800 LXI
39,326000.0,34972,Petrol,Manual,1st Owner,2018,799,5,Renault,KWID RXL
40,421000.0,46623,Petrol,Manual,2nd Owner,2015,1198,5,Honda,Amaze S i-Vtech
41,1553000.0,18557,Petrol,Manual,1st Owner,2019,1353,5,Kia,Seltos GTX Plus
42,1243000.0,58463,Diesel,Manual,1st Owner,2017,1956,5,Jeep,Compass 2.0 Limited
43,1850000.0,5000,Petrol,Automatic,1st Owner,2020,1451,6,MG,Hector Plus Sharp DCT
44,1590000.0,66000,Diesel,Manual,1st Owner,2019,1956,5,Tata,Harrier XZ BSIV
45,890000.0,14000,Petrol,Automatic,1st Owner,2019,1498,5,Renault,Duster Petrol RXS CVT
46,4300000.0,61000,Diesel,Automatic,1st Owner,2019,1995,5,BMW,5 Series 520d Luxury Line
47,600000.0,65392,Diesel,Manual,1st Owner,2017,1396,5,Hyundai,i20 1.4 Magna Executive
